available	categoryId	currencyId	delivery	description	id	name	oldprice	param	pickup	price	store	vendor
1	1256	RUB	true	152-07-GL-01-VB Ботинки, пол женский, черный, верх Натуральный велюр, подкладка Байка	152-07-GL-01-VB	Материал	12499.00 RUB	Натуральный велюр	true	7499.00 RUB	true	calipso
1	1269	RUB	true	1523-8072S-BLL-33-PT Обувь Туфли женские с открытой носочной и пяточной частями Бирюзовый верх Искусcтвенная кожа. подкладка Текстиль.	1523-8072S-BLL-33-PT	Материал	4499.00 RUB	Искусственная кожа	true	1349.00 RUB	true	calipso
1	1295	RUB	true	153-01-GL-01-KB Сапоги, пол женский, черный, верх Натуральная кожа, подкладка Байка	153-01-GL-01-KB	Материал	16999.00 RUB	Натуральная кожа	true	8999.00 RUB	true	calipso
1	1280	RUB	true	153-010986-354 Сумка Жен., цвет: Черный 29х11х20 см, верх: Натуральная кожа., пр-ль: РОССИЯ	153-010986-354	Материал	9999.00 RUB	Натуральная кожа	true	5499.00 RUB	true	calipso
1	1269	RUB	true	1533-8106S-BLL-01-PP Обувь Туфли женские открытые ремешковые Черный верх Искусcтвенная кожа. подкладка Искусcтвенная кожа.	1533-8106S-BLL-01-PP	Материал	4499.00 RUB	Искусственный лак	true	1299.00 RUB	true	calipso
1	1269	RUB	true	1533-8106S-BLL-03-PP Обувь Туфли женские открытые ремешковые Бежевый верх Искусcтвенная кожа. подкладка Искусcтвенная кожа.	1533-8106S-BLL-03-PP	Материал	4499.00 RUB	Искусственный лак	true	999.00 RUB	true	calipso
1	1266	RUB	true	1541-01-SCJ-01-KK Босоножки, пол женский, черный, верх Натуральная кожа, подкладка Натуральная кожа	1541-01-SCJ-01-KK	Материал	4499.00 RUB	Натуральная кожа	true	1299.00 RUB	true	velvet
1	1295	RUB	true	155-01-RTA-01-KB Сапоги, пол женский, черный, верх Натуральная кожа, подкладка Байка	155-01-RTA-01-KB	Материал	14999.00 RUB	Натуральная кожа	true	9999.00 RUB	true	calipso
1	1295	RUB	true	155-01-RTA-01-KBM Сапоги, пол женский, черный, верх Натуральная кожа, подкладка Евромех	155-01-RTA-01-KBM	Материал	16999.00 RUB	Натуральная кожа	true	9999.00 RUB	true	calipso
1	1295	RUB	true	155-01-RTA-01-VBM Сапоги, пол женский, черный, верх Спилок, подкладка Евромех	155-01-RTA-01-VBM	Материал	16999.00 RUB	Натуральный велюр	true	9999.00 RUB	true	calipso
